JSON_Field_Path,Loop_Name,Segment_Name,Element_Number,Element_Description,Notes
claim_lines.line_chrg_amt,2400,SV2,3,Monetary Amount,Line charge amount
claim_lines.prcdr_cd,2400,SV2,2,Product/Service ID,Procedure code
claim_lines.prcdr_cd_type,2400,SV2,2,Product/Service ID Qualifier,Procedure code type
claim_lines.modifier_cds,2400,SV2,2,Product/Service ID,Procedure modifiers (sub-elements 2-5)
claim_lines.revenue_cd,2400,SV2,1,Revenue Code,Revenue center code
diagnosis.principal_dx_cd,2300,HI,1,Health Care Code Information,Principal diagnosis code (when qualifier=ABK)
diagnosis.principal_dx_poa,2300,HI,1,Health Care Code Information,Principal diagnosis POA indicator (last sub-element)
diagnosis.admitting_dx_cd,2300,HI,1,Health Care Code Information,Admitting diagnosis code (when qualifier=ABJ)
diagnosis.admitting_dx_poa,2300,HI,1,Health Care Code Information,Admitting diagnosis POA indicator (last sub-element)
diagnosis.reason_visit_dx_cd,2300,HI,1,Health Care Code Information,Reason for visit diagnosis code (when qualifier=APR)
diagnosis.reason_visit_dx_poa,2300,HI,1,Health Care Code Information,Reason for visit diagnosis POA indicator (last sub-element)
diagnosis.external_injury_dx_cd,2300,HI,1,Health Care Code Information,External cause of injury diagnosis code (when qualifier=ABN)
diagnosis.external_injury_dx_poa,2300,HI,1,Health Care Code Information,External cause of injury diagnosis POA indicator (last sub-element)
diagnosis.other_dx_cds,2300,HI,1,Health Care Code Information,Other diagnosis codes (when qualifier=ABF)
diagnosis.other_dx_cds,2300,HI,1,Health Care Code Information,Other diagnosis POA indicators (last sub-element of each diagnosis) 
